"Freq [GHz]","dB(S(2,1)) []"
1,-0.305826269716675
1.9,-0.558739891990405
2.8,-5.53763875892996
3.7,-17.9523658115556
4.6,-26.9379367761101
5.5,-32.5415265136712
6.4,-34.8976637356399
7.3,-33.2087753435763
8.2,-22.1683517682781
9.1,-33.8870222311859
10,-35.077092101344
10,-35.077092101344
